DEMO_age,DEMO_gender,DEMO_identity_indigenous,DEMO_identity_lgbtq,LONELY_ucla_loneliness_scale_score
20,Woman,NA,Not Selected,NA
50,Woman,NA,Not Selected,NA
60,NA,NA,NA,NA
73,Woman,NA,Not Selected,NA
66,Woman,Not Selected,Not Selected,8
63,NA,NA,NA,NA
26,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
66,Man,NA,Not Selected,NA
54,Woman,NA,Not Selected,NA
33,Man,Not Selected,Not Selected,3
74,Man,Not Selected,Not Selected,3
68,NA,NA,NA,NA
29,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,5
33,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
70,NA,NA,NA,NA
62,Woman,NA,Not Selected,NA
30,NA,NA,NA,NA
65,NA,NA,NA,NA
30,Man,Not Selected,Not Selected,5
31,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
66,NA,NA,NA,NA
26,NA,NA,NA,NA
30,Man,Not Selected,Not Selected,3
67,Woman,NA,Not Selected,NA
45,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
63,Woman,NA,Not Selected,NA
63,Woman,NA,Not Selected,NA
29,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
63,Woman,NA,Not Selected,NA
48,NA,NA,NA,NA
22,Woman,NA,Not Selected,NA
50,Non-binary,NA,Not Selected,NA
58,NA,NA,NA,NA
46,NA,NA,NA,NA
26,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
71,Man,Not Selected,Not Selected,3
41,Woman,Presented but no response,Not Selected,6
25,Woman,Not Selected,Not Selected,NA
28,NA,NA,NA,NA
59,Woman,NA,Not Selected,NA
25,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",5
65,Woman,NA,Not Selected,NA
33,NA,NA,NA,NA
29,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
NA,NA,NA,NA,3
68,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
NA,NA,NA,NA,3
31,NA,NA,NA,NA
27,Woman,Not Selected,Not Selected,6
24,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",NA
16,Non-binary,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
59,Woman,Not Selected,Not Selected,8
35,Presented but no response,NA,NA,NA
35,Man,Not Selected,Not Selected,NA
35,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
NA,NA,NA,NA,6
NA,NA,NA,NA,8
72,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
38,Woman,NA,Not Selected,NA
31,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
37,Woman,Not Selected,Not Selected,4
24,NA,NA,NA,NA
NA,NA,NA,NA,NA
43,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
54,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
NA,NA,NA,NA,3
NA,NA,NA,NA,4
62,Woman,NA,Not Selected,NA
67,Woman,NA,Not Selected,NA
25,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
46,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
27,NA,NA,NA,NA
46,Woman,NA,Not Selected,NA
34,NA,NA,NA,NA
25,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",3
20,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
23,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,9
52,Woman,NA,Not Selected,NA
55,NA,NA,NA,NA
38,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
77,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
73,Man,NA,Not Selected,NA
39,Woman,Not Selected,Not Selected,7
32,Man,Not Selected,Not Selected,6
26,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
22,NA,NA,NA,NA
32,Man,Not Selected,Not Selected,3
33,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,9
28,Man,Not Selected,Not Selected,7
21,Woman,Not Selected,Not Selected,4
67,NA,NA,NA,NA
52,Woman,Not Selected,Not Selected,9
29,Man,NA,Not Selected,NA
75,Man,NA,Not Selected,NA
70,Man,Not Selected,Not Selected,6
44,Woman,NA,Not Selected,NA
42,Woman,NA,Not Selected,NA
22,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
62,Woman,NA,Not Selected,NA
36,Man,NA,Not Selected,NA
61,NA,NA,NA,NA
60,Woman,Not Selected,Not Selected,9
67,NA,NA,NA,NA
28,Non-binary,NA,Not Selected,NA
33,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
25,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
58,Woman,NA,Not Selected,NA
56,Woman,NA,Not Selected,NA
NA,NA,NA,NA,3
NA,NA,NA,NA,3
68,Man,Not Selected,Not Selected,3
NA,NA,NA,NA,3
66,Woman,NA,Not Selected,NA
66,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,5
73,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
30,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
62,Woman,NA,Not Selected,NA
57,Woman,NA,Not Selected,NA
55,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
65,NA,NA,NA,NA
32,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
22,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
53,Woman,NA,Not Selected,NA
46,Woman,NA,Not Selected,NA
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
NA,NA,NA,NA,3
64,Woman,Not Selected,Not Selected,3
NA,NA,NA,NA,3
72,Man,NA,Not Selected,NA
17,Woman,Not Selected,Not Selected,5
32,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
62,NA,NA,NA,NA
37,Woman,NA,Not Selected,NA
77,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
NA,Non-binary,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,6
23,NA,NA,NA,NA
89,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
62,Woman,NA,Not Selected,NA
54,Woman,Not Selected,Not Selected,9
42,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
18,NA,NA,NA,NA
70,Woman,NA,Not Selected,NA
69,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
66,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
78,NA,NA,NA,NA
60,NA,NA,NA,NA
62,Woman,NA,Not Selected,NA
33,NA,NA,NA,NA
39,Woman,NA,Not Selected,NA
70,Woman,Not Selected,Not Selected,6
NA,NA,NA,NA,3
NA,NA,NA,NA,5
NA,Woman,Not Selected,Not Selected,6
62,Woman,NA,Not Selected,NA
43,Woman,Not Selected,Not Selected,NA
23,Woman,NA,Not Selected,NA
54,Man,Not Selected,Not Selected,7
66,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,9
60,Woman,NA,Not Selected,NA
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
23,Man,Not Selected,Not Selected,NA
53,Man,NA,Not Selected,NA
NA,NA,NA,NA,7
73,Woman,Not Selected,Not Selected,6
NA,NA,NA,NA,NA
24,Non-binary,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
26,Man,NA,Not Selected,NA
35,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
62,Woman,NA,Not Selected,NA
30,Man,Not Selected,Not Selected,6
32,Man,NA,Not Selected,NA
67,Woman,Not Selected,Not Selected,7
41,Woman,Not Selected,Not Selected,6
65,NA,NA,NA,NA
54,Woman,NA,Not Selected,NA
52,Woman,NA,Not Selected,NA
33,Woman,Not Selected,Not Selected,5
69,Woman,NA,Not Selected,NA
30,Man,Not Selected,Not Selected,NA
66,Woman,Not Selected,Not Selected,6
27,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
64,Woman,NA,Not Selected,NA
26,Woman,NA,Not Selected,NA
66,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
35,Woman,NA,Not Selected,NA
NA,Man,Not Selected,Not Selected,9
71,Woman,NA,Not Selected,NA
59,Woman,NA,Not Selected,NA
26,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
61,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",8
62,Woman,NA,Not Selected,NA
59,Woman,NA,Not Selected,NA
25,NA,NA,NA,NA
24,NA,NA,NA,NA
74,Man,NA,Not Selected,NA
74,Woman,NA,Not Selected,NA
66,Woman,NA,Not Selected,NA
69,NA,NA,NA,NA
32,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
33,Non-binary,NA,Not Selected,NA
35,Woman,Not Selected,Not Selected,5
81,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,5
58,Woman,Not Selected,Not Selected,7
NA,NA,NA,NA,3
59,Woman,Not Selected,Not Selected,8
83,NA,NA,NA,NA
36,NA,NA,NA,NA
18,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
38,Woman,NA,Not Selected,NA
31,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
26,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
75,Woman,Not Selected,Not Selected,6
68,Woman,Not Selected,Not Selected,6
33,Woman,NA,Not Selected,NA
69,Woman,NA,Not Selected,NA
55,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
63,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
49,NA,NA,NA,NA
36,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
75,Woman,NA,Not Selected,NA
51,Woman,NA,Not Selected,NA
39,Man,NA,Not Selected,NA
28,Woman,NA,Not Selected,NA
30,Man,Not Selected,Not Selected,6
69,Woman,NA,Not Selected,NA
65,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
40,Man,Not Selected,Not Selected,7
NA,NA,NA,NA,3
73,Woman,Not Selected,Not Selected,4
NA,NA,NA,NA,4
55,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
60,Woman,Not Selected,Not Selected,8
56,Woman,Not Selected,Not Selected,9
60,Presented but no response,NA,Not Selected,NA
30,Woman,Not Selected,Not Selected,3
57,Woman,NA,Not Selected,NA
68,Woman,Not Selected,Not Selected,9
NA,NA,NA,NA,9
78,NA,NA,NA,NA
25,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",4
24,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
50,Woman,Not Selected,Not Selected,9
33,Woman,Not Selected,Not Selected,6
70,NA,NA,NA,NA
61,NA,NA,NA,NA
65,Woman,NA,Not Selected,NA
38,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
18,NA,NA,NA,NA
NA,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,6
72,Woman,NA,Not Selected,NA
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
70,Woman,NA,Not Selected,NA
43,Non-binary,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
33,Woman,Not Selected,Not Selected,5
22,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
64,NA,NA,NA,NA
65,Man,Not Selected,Not Selected,8
55,Woman,NA,Not Selected,NA
68,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
33,Man,NA,Not Selected,NA
36,Man,Not Selected,Not Selected,NA
NA,NA,NA,NA,NA
47,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
33,Man,NA,Not Selected,NA
23,Woman,NA,Not Selected,NA
65,Man,NA,Not Selected,NA
24,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,7
16,NA,NA,NA,NA
NA,NA,NA,NA,8
NA,NA,NA,NA,9
20,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",9
24,Woman,NA,Not Selected,NA
68,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
27,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
26,Man,NA,Not Selected,NA
68,Woman,Not Selected,Not Selected,NA
78,NA,NA,NA,NA
20,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,7
36,Woman,NA,Not Selected,NA
21,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
27,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",7
24,Woman,NA,Not Selected,NA
32,NA,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
31,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
23,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
62,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
28,Woman,NA,Not Selected,NA
35,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
28,Non-binary,Not Selected,Not Selected,9
21,Woman,Not Selected,Not Selected,6
25,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,3
42,NA,NA,NA,NA
86,NA,NA,NA,NA
69,Woman,NA,Not Selected,NA
71,NA,NA,NA,NA
88,NA,NA,NA,NA
NA,NA,NA,NA,NA
66,NA,NA,NA,NA
53,Woman,NA,Not Selected,NA
23,Man,Not Selected,Not Selected,5
NA,NA,NA,NA,7
NA,NA,NA,NA,3
NA,NA,NA,NA,3
63,Man,Not Selected,Not Selected,3
25,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,7
38,NA,NA,NA,NA
61,NA,NA,NA,NA
28,NA,NA,NA,NA
28,NA,NA,NA,NA
69,Woman,Not Selected,Not Selected,4
22,NA,NA,NA,NA
64,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
NA,NA,NA,NA,3
NA,NA,NA,NA,5
56,Woman,NA,Not Selected,NA
41,Man,Not Selected,Not Selected,8
29,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
27,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
25,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,7
NA,NA,NA,NA,NA
58,NA,NA,NA,NA
55,NA,NA,NA,NA
66,Woman,NA,Not Selected,NA
67,Woman,NA,Not Selected,NA
75,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)",NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
25,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",5
40,NA,NA,NA,NA
22,Non-binary,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
28,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)",NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
36,Woman,Not Selected,Not Selected,NA
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
29,Man,NA,Not Selected,NA
60,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
25,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",6
24,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
58,Woman,Not Selected,Not Selected,5
76,NA,NA,NA,NA
23,NA,NA,NA,NA
27,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,4
64,Woman,NA,Not Selected,NA
22,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,6
20,Woman,Not Selected,Not Selected,8
28,NA,NA,NA,NA
46,Woman,NA,Not Selected,NA
25,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
66,Woman,NA,Not Selected,NA
NA,NA,NA,NA,5
65,Woman,Not Selected,Not Selected,5
NA,NA,NA,NA,5
33,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
69,NA,NA,NA,NA
27,Woman,Not Selected,Not Selected,6
72,Woman,NA,Not Selected,NA
42,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
50,NA,NA,NA,NA
61,Woman,NA,Not Selected,NA
49,Woman,NA,Not Selected,NA
36,Man,Not Selected,Not Selected,6
26,Man,NA,Not Selected,NA
24,Woman,Not Selected,Not Selected,5
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
24,Man,Not Selected,Not Selected,NA
57,Man,NA,NA,NA
66,NA,NA,NA,NA
46,Woman,NA,Not Selected,NA
62,Man,Not Selected,Not Selected,4
81,NA,NA,NA,NA
67,Woman,Not Selected,Not Selected,7
57,NA,NA,NA,NA
90,Woman,NA,Not Selected,NA
35,NA,NA,NA,NA
31,NA,NA,NA,NA
65,Woman,NA,Not Selected,NA
67,NA,NA,NA,NA
NA,NA,NA,NA,4
61,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
NA,NA,NA,NA,6
NA,NA,NA,NA,NA
39,NA,NA,NA,NA
35,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
NA,NA,NA,NA,4
60,Man,Not Selected,Not Selected,9
NA,NA,NA,NA,9
25,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
55,Woman,Not Selected,Not Selected,6
50,Man,NA,Not Selected,NA
30,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
33,NA,NA,NA,NA
61,Man,Not Selected,Not Selected,NA
24,Woman,NA,Not Selected,NA
53,Man,Not Selected,Not Selected,NA
28,Man,Not Selected,Not Selected,8
49,Woman,NA,Not Selected,NA
64,NA,NA,NA,NA
78,Woman,NA,Not Selected,NA
55,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
43,NA,NA,NA,NA
72,NA,NA,NA,NA
64,Woman,NA,Not Selected,NA
47,NA,NA,NA,NA
57,Woman,NA,Not Selected,NA
23,Non-binary,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",8
50,Woman,NA,Not Selected,NA
30,Man,Not Selected,Not Selected,NA
51,Woman,NA,Not Selected,NA
43,Man,NA,Not Selected,NA
59,Woman,NA,Not Selected,NA
81,NA,NA,NA,NA
63,Woman,NA,Not Selected,NA
49,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
77,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
NA,NA,NA,NA,9
69,Woman,Not Selected,Not Selected,9
NA,NA,NA,NA,9
35,Woman,NA,Not Selected,NA
66,Woman,NA,Not Selected,NA
28,Woman,NA,Not Selected,NA
45,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
39,Woman,NA,Not Selected,NA
58,Woman,NA,Not Selected,NA
27,Man,Not Selected,Not Selected,4
66,Man,NA,Not Selected,NA
82,Woman,NA,Not Selected,NA
39,Woman,Not Selected,Not Selected,6
34,Man,NA,Not Selected,NA
44,NA,NA,NA,NA
27,Man,NA,Not Selected,NA
30,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
65,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
28,Man,Not Selected,Not Selected,NA
36,Woman,NA,Not Selected,NA
65,Non-binary,Not Selected,Not Selected,6
28,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
35,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
73,Woman,NA,Not Selected,NA
33,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)","Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",NA
41,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
30,NA,NA,NA,NA
30,NA,NA,NA,NA
32,Woman,NA,Not Selected,NA
34,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",NA
30,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
26,Woman,Not Selected,Not Selected,4
21,NA,NA,NA,NA
24,NA,NA,NA,NA
37,NA,NA,NA,NA
58,Woman,Not Selected,Not Selected,4
38,Woman,NA,Not Selected,NA
30,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
28,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",9
NA,NA,NA,NA,9
NA,NA,NA,NA,7
49,NA,NA,NA,NA
51,Woman,NA,Not Selected,NA
31,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",6
31,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
69,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
23,Man,Not Selected,Not Selected,5
32,NA,NA,NA,NA
69,Woman,Not Selected,Not Selected,3
42,Woman,NA,Not Selected,NA
68,NA,NA,NA,NA
40,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
30,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
40,Woman,NA,Not Selected,NA
44,NA,NA,NA,NA
62,Woman,NA,Not Selected,NA
74,NA,NA,NA,NA
50,Woman,NA,Not Selected,NA
46,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
66,Woman,NA,Not Selected,NA
56,NA,NA,NA,NA
57,Woman,NA,Not Selected,NA
47,Woman,NA,Not Selected,NA
55,Woman,NA,Not Selected,NA
20,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",5
60,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
73,NA,NA,NA,NA
26,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,5
28,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
47,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
33,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
25,Woman,Not Selected,Not Selected,6
33,NA,NA,NA,NA
22,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
58,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
62,Man,Not Selected,Not Selected,NA
57,NA,NA,NA,NA
25,Man,Not Selected,Not Selected,6
64,Woman,NA,Not Selected,NA
NA,NA,NA,NA,5
53,Woman,NA,Not Selected,NA
37,Woman,NA,Not Selected,NA
45,Non-binary,Not Selected,Not Selected,3
40,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
33,Woman,Not Selected,Not Selected,4
31,Man,Not Selected,Not Selected,3
72,Man,Not Selected,Not Selected,NA
35,Woman,Not Selected,Not Selected,5
30,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
26,Woman,Not Selected,Not Selected,NA
65,Man,Not Selected,Not Selected,NA
51,NA,NA,NA,NA
NA,NA,NA,NA,3
38,Woman,Not Selected,Not Selected,6
NA,NA,NA,NA,3
32,NA,NA,NA,NA
60,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
23,Man,NA,Not Selected,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,5
45,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
42,NA,NA,NA,NA
NA,NA,NA,NA,9
NA,NA,NA,NA,9
50,Man,Not Selected,Not Selected,9
75,Woman,NA,Not Selected,NA
47,Woman,NA,Not Selected,NA
40,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
49,NA,NA,NA,NA
27,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)",NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
32,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
73,Woman,NA,Not Selected,NA
78,Non-binary,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
20,Man,Not Selected,Not Selected,NA
26,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
53,Woman,Not Selected,Not Selected,6
78,NA,NA,NA,NA
27,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
35,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,4
56,NA,NA,NA,NA
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
57,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
34,Woman,NA,Not Selected,NA
25,Man,NA,Not Selected,NA
60,Man,NA,Not Selected,NA
30,Man,Not Selected,Not Selected,6
39,Woman,NA,Not Selected,NA
53,NA,NA,NA,NA
20,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
41,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
23,Man,NA,Not Selected,NA
81,NA,NA,NA,NA
56,Woman,Not Selected,Not Selected,7
41,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
49,Man,Not Selected,Not Selected,3
60,Woman,NA,Not Selected,NA
25,NA,NA,NA,NA
30,Woman,NA,Not Selected,NA
52,Woman,NA,Not Selected,NA
NA,NA,NA,NA,7
47,Woman,Not Selected,Not Selected,7
NA,NA,NA,NA,9
32,Woman,NA,Not Selected,NA
60,Woman,NA,Not Selected,NA
29,Woman,NA,Not Selected,NA
89,Woman,Not Selected,Not Selected,8
25,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,5
26,Man,NA,Not Selected,NA
31,NA,NA,NA,NA
82,Man,NA,Not Selected,NA
21,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",9
25,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",8
58,NA,NA,NA,NA
66,Woman,NA,Not Selected,NA
59,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
58,NA,NA,NA,NA
33,Man,Not Selected,Not Selected,6
69,Man,NA,Not Selected,NA
30,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
72,Woman,NA,Not Selected,NA
NA,NA,NA,NA,4
NA,NA,NA,NA,5
39,Man,NA,Not Selected,NA
59,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
65,Woman,NA,Not Selected,NA
69,Man,NA,Not Selected,NA
31,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)",NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
74,NA,NA,NA,NA
58,Woman,NA,Not Selected,NA
